,pca_bma,pca_lasso_bic,pca_lasso_cvshuffled,pca_lasso_cv,pca_lasso_ebic,pca_ols,pca_ridge_cv
Intercept,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532
pca_0,-0.0017218645054707,-0.0015359257513429,0.0,-0.001545645596576,-0.0017182774489737,-0.0017203984365768,-0.0010674631997237
pca_1,-0.0001906706422464,-0.0003139677404468,0.0,-0.0003236875856799,-0.0004963194380776,-0.0004984404256807,-0.0003092695275447
pca_2,0.0003790919238853,0.0003530958042156,0.0,0.0003628156494487,0.0005354475018464,0.0005375684894495,0.0003335474897083
pca_3,0.0009995286832338,0.0008158600314877,0.0,0.0008255798767209,0.0009982117291186,0.0010003327167217,0.0006206808492018
pca_4,0.0,0.0,0.0,0.0,-2.32933776495483e-05,-2.541436525262331e-05,-1.5768963209180688e-05
pca_5,-0.0004560963945582,-0.0003715337979213,0.0,-0.0003812536431544,-0.0005538854955521,-0.0005560064831552,-0.000344987792919
pca_6,0.0,8.17625137459788e-05,0.0,9.148235897912582e-05,0.0002641142113768,0.0002662351989798,0.0001651921272072
pca_7,3.11140101264505e-07,0.0001501864190085,0.0,0.0001599062642416,0.0003325381166393,0.0003346591042424,0.000207647409249
pca_8,-2.37278458393277e-07,-0.0001235138053089,0.0,-0.0001332336505421,-0.0003058655029397,-0.0003079864905428,-0.0001910977350809
pca_9,0.0,0.0,0.0,0.0,-3.91790301680435e-05,-4.130001777111832e-05,-2.5625604035263352e-05
pca_10,0.0,0.0,0.0,0.0,-6.39915108795887e-05,-6.611249848266314e-05,-4.102111329074145e-05
pca_11,0.0,-7.71383651616773e-05,0.0,-8.685821039482452e-05,-0.0002594900627925,-0.0002616110503955,-0.0001623229613565
pca_12,-1.26881437277922e-05,-0.0002282671735339,0.0,-0.0002379870187671,-0.0004106188711648,-0.0004127398587679,-0.0002560945191106
pca_13,-4.48383250983133e-05,-0.0002639889023179,0.0,-0.0002737087475511,-0.0004463405999488,-0.0004484615875518,-0.0002782589375946
pca_14,2.22900167808978e-07,0.0001287162385781,0.0,0.0001384360838113,0.000311067936209,0.000313188923812,0.0001943257117785
pca_15,0.0,-2.5031599663993e-06,0.0,-1.2223005199546614e-05,-0.0001848548575972,-0.0001869758452003,-0.0001160137266723
pca_16,2.52461670219568e-08,0.0001019692116291,0.0,0.0001116890568623,0.00028432090926,0.0002864418968631,0.0001777298660935
pca_17,0.0,0.0,0.0,0.0,-4.5387643751534e-06,-6.659751978228972e-06,-4.132205659400244e-06
pca_18,-1.77663441929647e-05,-0.0002402980051802,0.0,-0.0002500178504134,-0.000422649702811,-0.0004247706904141,-0.000263559342242
pca_19,1.77196723306845e-06,0.0001765597511881,0.0,0.0001862795964213,0.000358911448819,0.000361032436422,0.0002240113868936
pca_20,-5.36888451111251e-08,-7.70807032381456e-05,0.0,-8.680054847129263e-05,-0.0002594324008689,-0.000261553388472,-0.0001622871836087
pca_21,0.0,0.0,0.0,0.0,2.59953810173869e-05,2.8116368620461344e-05,1.74454871465286e-05
pca_22,0.0,0.0,0.0,0.0,-5.24315370008135e-05,-5.455252460388833e-05,-3.384844535347386e-05
pca_23,0.0,0.0,0.0,0.0,-0.0001330730186552,-0.0001351940062583,-8.38844208619099e-05
pca_24,0.0,0.0,0.0,0.0,5.62731810205668e-05,5.839416862364202e-05,3.623208714850195e-05
pca_25,1.04179788396511e-06,0.000168879658795,0.0,0.0001785995040281,0.0003512313564258,0.0003533523440289,0.0002192460861203
pca_26,0.0,0.0,0.0,0.0,3.24118424639556e-05,3.45328300670311e-05,2.14267372575708e-05
pca_27,0.0,0.0,0.0,0.0,-1.702249120761e-05,-1.914347881068469e-05,-1.187803866280955e-05
pca_28,0.0,-1.21207917537363e-05,0.0,-2.1840636986883705e-05,-0.0001944724893845,-0.0001965934769876,-0.0001219812210522
pca_29,0.0,-4.64931526481677e-06,0.0,-1.4369160497963838e-05,-0.0001870010128956,-0.0001891220004987,-0.0001173453611084
pca_30,0.0,4.97965458638044e-05,0.0,5.951639109695151e-05,0.0002321482434946,0.0002342692310977,0.0001453580622416
pca_31,0.0,0.0,0.0,0.0,2.34133191280671e-05,2.553430673114216e-05,1.5843383826938302e-05
pca_32,0.0,8.96432778509551e-06,0.0,1.868417301824276e-05,0.0001913160254159,0.000193437013019,0.0001200227159431
pca_33,0.0,0.0,0.0,0.0,-0.0001162568325888,-0.0001183778201919,-7.345040778449481e-05
pca_34,0.0,0.0,0.0,0.0,-0.0001126065455127,-0.0001147275331157,-7.118549807558196e-05
pca_35,0.0,0.0,0.0,0.0,7.15170878312624e-05,7.363807543433738e-05,4.569054118709819e-05
pca_36,0.0,0.0,0.0,0.0,7.58418895236633e-05,7.796287712673799e-05,4.837396995254564e-05
pca_37,0.0,0.0,0.0,0.0,-3.18732498718673e-05,-3.399423747494229e-05,-2.1092554338384925e-05
pca_38,0.0,0.0,0.0,0.0,0.0001602456131609,0.000162366600764,0.0001007443203242
pca_39,0.0,0.0,0.0,0.0,-6.7711048484582e-05,-6.983203608765671e-05,-4.332899118048136e-05
pca_40,-1.08892527142582e-07,-9.28066589691228e-05,0.0,-0.0001025265042022,-0.0002751583565999,-0.000277279344203,-0.0001720447366653
pca_41,0.0,0.0,0.0,0.0,0.000118838893848,0.0001209598814511,7.505251071311663e-05
pca_42,0.0,0.0,0.0,0.0,-0.0001280799593604,-0.0001302009469634,-8.078635535686432e-05
pca_43,0.0,0.0,0.0,0.0,5.0561600516112e-05,5.268258811918719e-05,3.268819762201747e-05
pca_44,0.0,0.0,0.0,0.0,0.0001376789528822,0.0001397999404853,8.67422851700731e-05
pca_45,0.0,0.0,0.0,0.0,5.61705006044005e-05,5.8291488207475614e-05,3.6168376578171495e-05
pca_46,0.0,0.0,0.0,0.0,3.68677030118723e-05,3.898869061494757e-05,2.419148468867524e-05
pca_47,0.0,0.0,0.0,0.0,0.0001680878470447,0.0001702088346477,0.0001056102257427
pca_48,0.0,0.0,0.0,0.0,-0.0001078810439605,-0.0001100020315636,-6.82534453022759e-05
pca_49,0.0,0.0,0.0,0.0,-0.0001580349371644,-0.0001601559247675,-9.937265244627649e-05
pca_50,0.0,0.0,0.0,0.0,-9.42572885991717e-05,-9.63782762022462e-05,-5.980025377342898e-05
pca_51,0.0,0.0,0.0,0.0,-8.08331902406166e-05,-8.295417784369185e-05,-5.147094430501211e-05
pca_52,0.0,0.0,0.0,0.0,0.0001278532539092,0.0001299742415123,8.064569042649209e-05
pca_53,0.0,0.0,0.0,0.0,7.96787374207257e-05,8.179972502380009e-05,5.07546358761908e-05
pca_54,0.0,0.0,0.0,-1.5110708229749545e-07,-0.0001727829594799,-0.000174903947083,-0.0001085234228467
pca_55,0.0,0.0,0.0,0.0,5.00132789739858e-05,5.213426657706048e-05,3.2347978138326155e-05
pca_56,0.0,0.0,0.0,0.0,3.8487738906751e-05,4.060872650982614e-05,2.5196675499854583e-05
pca_57,0.0,0.0,0.0,0.0,-4.980481523657e-06,-7.101469126731926e-06,-4.406279845175944e-06
pca_58,0.0,0.0,0.0,0.0,6.8535805519146e-05,7.065679312222029e-05,4.384073181241432e-05
pca_59,0.0,0.0,0.0,0.0,-0.0001222975552457,-0.0001244185428488,-7.719852159283221e-05
pca_60,2.79087605342485e-08,4.37154667429284e-05,0.0,5.343531197607568e-05,0.0002260671643737,0.0002281881519768,0.0001415849082802
pca_61,0.0,0.0,0.0,0.0,-1.79919356425001e-06,-3.92018116732477e-06,-2.4323720850944256e-06
pca_62,0.0,0.0,0.0,0.0,9.81145842378598e-07,3.1021334454534366e-06,1.924794409975784e-06
pca_63,0.0,0.0,0.0,0.0,0.0001068781741647,0.0001089991617677,6.76311902604191e-05
pca_64,0.0,0.0,0.0,0.0,9.57069101921227e-05,9.782789779519725e-05,6.069970687167693e-05
pca_65,0.0,0.0,0.0,0.0,-5.02071256744756e-05,-5.232811327755106e-05,-3.246825505485981e-05
pca_66,0.0,0.0,0.0,0.0,0.0001011475274534,0.0001032685150565,6.407547064056977e-05
pca_67,0.0,0.0,0.0,0.0,1.97418295609811e-07,2.3184058986840627e-06,1.4385115251513422e-06
pca_68,0.0,0.0,0.0,0.0,1.82650052382579e-05,2.0385992841332845e-05,1.264898681915404e-05
pca_69,-7.31353912110512e-07,-0.0001575207085354,0.0,-0.0001672405537686,-0.0003398724061663,-0.0003419933937693,-0.0002121981481939
pca_70,0.0,0.0,0.0,0.0,-2.33934782165134e-05,-2.551446581958812e-05,-1.5831073049107895e-05
pca_71,0.0,0.0,0.0,0.0,-3.80263493973906e-05,-4.014733700046606e-05,-2.491039511764217e-05
pca_72,0.0,0.0,0.0,0.0,-8.33798498307861e-05,-8.550083743385988e-05,-5.3051081404030907e-05
pca_73,0.0,0.0,0.0,0.0,7.76500068902079e-05,7.977099449328261e-05,4.949586050332287e-05
pca_74,0.0,0.0,0.0,0.0,-2.87832641626359e-05,-3.0904251765709884e-05,-1.9175297287838032e-05
pca_75,0.0,0.0,0.0,0.0,0.0001425421625218,0.0001446631501249,8.97597822872794e-05
pca_76,0.0,0.0,0.0,0.0,3.82734919963722e-05,4.03944795994466e-05,2.506374077518744e-05
pca_77,0.0,-6.35298089709223e-05,0.0,-7.324965420406939e-05,-0.0002458815066017,-0.0002480024942048,-0.0001538792005241
pca_78,3.5678865716428e-08,0.0001105137720878,0.0,0.000120233617321,0.0002928654697187,0.0002949864573218,0.0001830315471772
pca_79,-3.28304755637616e-08,-9.96165238579816e-05,0.0,-0.0001093363690911,-0.0002819682214888,-0.0002840892090918,-0.0001762700835439
pca_80,1.32780428202261e-06,0.0001693686631074,0.0,0.0001790885083406,0.0003517203607383,0.0003538413483413,0.0002195495007811
pca_81,0.0,0.0,0.0,0.0,-6.10481780335349e-05,-6.316916563660994e-05,-3.919485058850832e-05
