model,rmse,diff to best
pca_lasso_cv,0.002437516777032754,0.0
pca_lasso_bic,0.0024414236808260226,3.906903793268659e-06
pca_ridge_cv,0.0024442329174282507,6.716140395496804e-06
pca_bma,0.0030045629600163413,0.0005670461829835874
pca_ols,0.00308135512845935,0.000643838351426596
