,pca_lasso_cv,pca_lasso_bic,pca_ridge_cv,pca_bma,pca_ols
Intercept,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532,0.0031750330382532
pca_0,-0.001545645596576,-0.0015359257513429,-0.0010674631997237,-0.0017218645054707,-0.0017203984365768
pca_3,0.0008255798767209,0.0008158600314877,0.0006206808492018,0.0009995286832338,0.0010003327167217
pca_151,0.000435025061101,0.0004253052158679,0.0003783515815825,0.0005932144089248,0.0006097779011018
pca_5,-0.0003812536431544,-0.0003715337979213,-0.000344987792919,-0.0004560963945582,-0.0005560064831552
pca_2,0.0003628156494487,0.0003530958042156,0.0003335474897083,0.0003790919238853,0.0005375684894495
pca_1,-0.0003236875856799,-0.0003139677404468,-0.0003092695275447,-0.0001906706422464,-0.0004984404256807
pca_13,-0.0002737087475511,-0.0002639889023179,-0.0002782589375946,-4.48383250983133e-05,-0.0004484615875518
pca_18,-0.0002500178504134,-0.0002402980051802,-0.000263559342242,-1.77663441929647e-05,-0.0004247706904141
pca_12,-0.0002379870187671,-0.0002282671735339,-0.0002560945191106,-1.26881437277922e-05,-0.0004127398587679
pca_19,0.0001862795964213,0.0001765597511881,0.0002240113868936,1.77196723306845e-06,0.000361032436422
pca_80,0.0001790885083406,0.0001693686631074,0.0002195495007811,1.32780428202261e-06,0.0003538413483413
pca_25,0.0001785995040281,0.000168879658795,0.0002192460861203,1.04179788396511e-06,0.0003533523440289
pca_69,-0.0001672405537686,-0.0001575207085354,-0.0002121981481939,-7.31353912110512e-07,-0.0003419933937693
pca_7,0.0001599062642416,0.0001501864190085,0.000207647409249,3.11140101264505e-07,0.0003346591042424
pca_14,0.0001384360838113,0.0001287162385781,0.0001943257117785,2.22900167808978e-07,0.000313188923812
pca_8,-0.0001332336505421,-0.0001235138053089,-0.0001910977350809,-2.37278458393277e-07,-0.0003079864905428
pca_162,0.0001330225511702,0.000123302705937,0.0001909667533233,1.70565873317084e-07,0.0003077753911709
pca_168,-0.0001299740551369,-0.0001202542099038,-0.0001890752395548,-2.96790492483497e-07,-0.0003047268951377
pca_78,0.000120233617321,0.0001105137720878,0.0001830315471772,3.5678865716428e-08,0.0002949864573218
pca_16,0.0001116890568623,0.0001019692116291,0.0001777298660935,2.52461670219568e-08,0.0002864418968631
pca_79,-0.0001093363690911,-9.96165238579816e-05,-0.0001762700835439,-3.28304755637616e-08,-0.0002840892090918
pca_181,-0.0001053869870109,-9.56671417778509e-05,-0.0001738195930397,-5.77150658292693e-08,-0.0002801398270117
pca_40,-0.0001025265042022,-9.28066589691228e-05,-0.0001720447366653,-1.08892527142582e-07,-0.000277279344203
pca_6,9.148235897912582e-05,8.17625137459788e-05,0.0001651921272072,0.0,0.0002662351989798
pca_11,-8.685821039482452e-05,-7.71383651616773e-05,-0.0001623229613565,0.0,-0.0002616110503955
pca_20,-8.680054847129263e-05,-7.70807032381456e-05,-0.0001622871836087,-5.36888451111251e-08,-0.000261553388472
pca_133,8.391738735396748e-05,7.41975421208202e-05,0.0001604982559242,0.0,0.0002586702273547
pca_77,-7.324965420406939e-05,-6.35298089709223e-05,-0.0001538792005241,0.0,-0.0002480024942048
pca_30,5.951639109695151e-05,4.97965458638044e-05,0.0001453580622416,0.0,0.0002342692310977
pca_60,5.343531197607568e-05,4.37154667429284e-05,0.0001415849082802,2.79087605342485e-08,0.0002281881519768
pca_142,-4.866179642912742e-05,-3.89419511959805e-05,-0.000138623064052,0.0,-0.0002234146364298
pca_85,4.349936383503264e-05,3.37795186018853e-05,0.0001354199067495,0.0,0.0002182522038358
pca_82,-3.621748943477657e-05,-2.64976442016294e-05,-0.0001309016900492,-2.90205517304304e-08,-0.0002109703294355
pca_28,-2.1840636986883705e-05,-1.21207917537363e-05,-0.0001219812210522,0.0,-0.0001965934769876
pca_32,1.868417301824276e-05,8.96432778509551e-06,0.0001200227159431,0.0,0.000193437013019
pca_29,-1.4369160497963838e-05,-4.64931526481677e-06,-0.0001173453611084,0.0,-0.0001891220004987
pca_15,-1.2223005199546614e-05,-2.5031599663993e-06,-0.0001160137266723,0.0,-0.0001869758452003
pca_118,7.0952219950757405e-06,0.0,0.0001128320684293,0.0,0.0001818480619958
pca_140,2.8074130652134204e-06,0.0,0.0001101715927263,0.0,0.0001775602530659
pca_146,7.143639501959355e-07,0.0,0.0001088729093178,0.0,0.0001754672039509
pca_54,-1.5110708229749545e-07,0.0,-0.0001085234228467,0.0,-0.000174903947083
pca_143,0.0,0.0,-6.824240828260667e-05,0.0,-0.0001099842435299
pca_141,0.0,0.0,-6.012614737993398e-05,0.0,-9.69035091576e-05
pca_145,0.0,0.0,4.456031086946881e-05,0.0,7.18165171155821e-05
pca_136,0.0,0.0,-2.917521886287928e-05,0.0,-4.702082557176313e-05
pca_139,0.0,0.0,-9.020261224733432e-05,0.0,-0.0001453768458956
pca_144,0.0,0.0,7.087749626465564e-05,0.0,0.0001142311358309
pca_138,0.0,0.0,9.292012836737912e-05,0.0,0.0001497565851554
pca_137,0.0,0.0,2.3642875717068103e-05,0.0,3.81045139826396e-05
pca_191,0.0,0.0,1.4538112233041392e-05,0.0,2.3430639635143392e-05
pca_131,0.0,0.0,7.334299077199669e-05,0.0,0.0001182046994132
pca_135,0.0,0.0,4.2190822926809535e-05,0.0,6.799768443536118e-05
pca_134,0.0,0.0,-5.548741391192749e-05,0.0,-8.942740149588322e-05
pca_116,0.0,0.0,-5.171032472503123e-05,0.0,-8.33399800900403e-05
pca_117,0.0,0.0,2.041598713572292e-06,0.0,3.290383439781639e-06
pca_119,0.0,0.0,-4.8527745342680165e-05,0.0,-7.821071231285116e-05
pca_120,0.0,0.0,1.2905061314058747e-05,0.0,2.079870042768813e-05
pca_121,0.0,0.0,-7.850180115872888e-05,0.0,-0.000126518999453
pca_122,0.0,0.0,-2.2854167429098284e-05,0.0,-3.683337648029693e-05
pca_123,0.0,0.0,7.659554066761068e-05,0.0,0.0001234467365689
pca_124,0.0,0.0,-2.010841044006744e-05,0.0,-3.2408122258539466e-05
pca_125,0.0,0.0,4.230358238514465e-05,0.0,6.817941547384502e-05
pca_126,0.0,0.0,6.460178331672312e-05,0.0,0.0001041167574178
pca_127,0.0,0.0,-5.445121901165833e-05,0.0,-8.775739724011719e-05
pca_128,0.0,0.0,5.568073514684786e-06,0.0,8.973897153445505e-06
pca_129,0.0,0.0,-4.582827938454585e-05,0.0,-7.386006395778891e-05
pca_194,0.0,0.0,5.612460898127225e-06,0.0,9.045434968610886e-06
pca_130,0.0,0.0,9.084121599901692e-05,0.0,0.0001464060644169
pca_148,0.0,0.0,4.074159481535632e-05,0.0,6.566200693581491e-05
pca_132,0.0,0.0,9.224247777887456e-05,0.0,0.0001486644360178
pca_147,0.0,0.0,5.942780193031985e-05,0.0,9.577800673276891e-05
pca_154,0.0,0.0,-8.345610618277367e-05,0.0,-0.0001345037043307
pca_149,0.0,0.0,1.8543111825104872e-05,0.0,2.988537740826747e-05
pca_171,0.0,0.0,4.020900821403183e-05,0.0,6.480365307734383e-05
