"","estimate","2.5%","97.5%","margpp"
"pca_128",0,0,0,2.64818159788457e-05
"pca_129",0,0,0,3.30262949974887e-05
"pca_130",0,0,0,6.37918010146748e-05
"pca_131",0,0,0,4.68928657015865e-05
"pca_132",0,0,0,6.55710734929327e-05
"pca_133",0,0,0,0.000421251127059172
"pca_134",0,0,0,3.66661262705805e-05
"pca_135",0,0,0,3.19162074481615e-05
"pca_136",0,0,0,2.89034458860252e-05
"pca_137",0,0,0,2.8016150258118e-05
"pca_138",0,0,0,6.64568603986501e-05
"pca_139",0,0,0,6.30058760308574e-05
"pca_140",0,0,0,9.68043987136e-05
"pca_141",0,0,0,3.88292542175348e-05
"pca_142",-2.53647559356166e-08,0,0,0.00020753556796332
"pca_143",0,0,0,4.34057705528337e-05
"pca_144",0,0,0,4.51420141840699e-05
"pca_145",0,0,0,3.26244999334957e-05
"pca_146",0,0,0,9.38967185103929e-05
"pca_147",0,0,0,3.84842868577399e-05
"pca_148",0,0,0,3.15092286733096e-05
"pca_149",0,0,0,2.73804253075275e-05
"pca_150",0,0,0,4.58821946202137e-05
"pca_151",0.000593456934960679,0.000331706113483346,0.000768348137099233,0.973309342458441
"pca_152",0,0,0,4.52853668921765e-05
"pca_153",0,0,0,2.69311890766489e-05
"pca_154",0,0,0,5.55726176148845e-05
"pca_155",0,0,0,3.61864769932565e-05
"pca_156",0,0,0,3.41686538352821e-05
"pca_157",0,0,0,3.83940851926092e-05
"pca_158",0,0,0,2.64705641658971e-05
"pca_159",0,0,0,4.14992708016061e-05
"pca_160",0,0,0,5.03636566419908e-05
"pca_161",0,0,0,2.64674013071671e-05
"pca_162",1.28009634709231e-07,0,0,0.00134949443502215
"pca_163",0,0,0,2.74446267043091e-05
"pca_164",0,0,0,4.03844530600046e-05
"pca_165",0,0,0,5.51504491686654e-05
"pca_166",0,0,0,5.28829244553519e-05
"pca_167",0,0,0,3.381212282859e-05
"pca_168",-2.77406285188327e-07,0,0,0.00124747346033679
"pca_169",0,0,0,3.10209315186037e-05
"pca_170",0,0,0,3.53419821630448e-05
"pca_171",0,0,0,3.13650150098204e-05
"pca_172",0,0,0,4.27163603242897e-05
"pca_173",0,0,0,2.66292798159631e-05
"pca_174",0,0,0,3.21481387046074e-05
"pca_175",0,0,0,4.17891654943316e-05
"pca_176",0,0,0,2.82283303109363e-05
"pca_177",0,0,0,3.16185657620258e-05
"pca_178",0,0,0,8.00243647487473e-05
"pca_179",0,0,0,6.48756222604194e-05
"pca_180",2.0072479141472e-08,0,0,5.97855435261784e-05
"pca_181",-2.79927052513948e-08,0,0,0.000683231075808559
"pca_182",0,0,0,2.66608689128667e-05
"pca_183",0,0,0,3.3643930076301e-05
"pca_184",0,0,0,2.78626157579747e-05
"pca_185",0,0,0,3.52719778638468e-05
"pca_186",0,0,0,2.92631174807005e-05
"pca_187",0,0,0,3.43076279310638e-05
"pca_188",0,0,0,5.34581108019599e-05
"pca_189",0,0,0,2.67700139465602e-05
"pca_190",0,0,0,3.54677552251673e-05
"pca_191",0,0,0,2.69964283878955e-05
"pca_192",0,0,0,3.10396964182091e-05
"pca_193",0,0,0,2.76947136127127e-05
"pca_194",0,0,0,2.64834288013881e-05
"pca_195",0,0,0,3.92335353722928e-05
"phi",6.14537947186734e-06,5.27907956039635e-06,7.18388436469633e-06,1
