,coefs
Intercept,0.003175033038253247
pca_0,-0.0017203984365768434
pca_1,-0.0004984404256807653
pca_2,0.000537568489449551
pca_3,0.0010003327167217033
pca_4,-2.541436525262331e-05
pca_5,-0.0005560064831552321
pca_6,0.0002662351989798945
pca_7,0.0003346591042424557
pca_8,-0.0003079864905428691
pca_9,-4.130001777111832e-05
pca_10,-6.611249848266314e-05
pca_11,-0.00026161105039559376
pca_12,-0.00041273985876790907
pca_13,-0.0004484615875518951
pca_14,0.00031318892381207924
pca_15,-0.00018697584520031526
pca_16,0.00028644189686311374
pca_17,-6.659751978228972e-06
pca_18,-0.00042477069041417357
pca_19,0.0003610324364220804
pca_20,-0.0002615533884720609
pca_21,2.8116368620461344e-05
pca_22,-5.455252460388833e-05
pca_23,-0.00013519400625832946
pca_24,5.839416862364202e-05
pca_25,0.0003533523440289612
pca_26,3.45328300670311e-05
pca_27,-1.9143478810684694e-05
pca_28,-0.00019659347698765243
pca_29,-0.00018912200049873203
pca_30,0.0002342692310977199
pca_31,2.5534306731142157e-05
pca_32,0.00019343701301901065
pca_33,-0.0001183778201919117
pca_34,-0.0001147275331157771
pca_35,7.363807543433738e-05
pca_36,7.796287712673799e-05
pca_37,-3.399423747494229e-05
pca_38,0.0001623666007640636
pca_39,-6.983203608765671e-05
pca_40,-0.00027727934420303815
pca_41,0.00012095988145111959
pca_42,-0.00013020094696347727
pca_43,5.268258811918719e-05
pca_44,0.00013979994048536945
pca_45,5.8291488207475614e-05
pca_46,3.898869061494757e-05
pca_47,0.00017020883464778517
pca_48,-0.00011000203156362813
pca_49,-0.00016015592476754007
pca_50,-9.63782762022462e-05
pca_51,-8.295417784369185e-05
pca_52,0.00012997424151231399
pca_53,8.179972502380009e-05
pca_54,-0.00017490394708306612
pca_55,5.2134266577060474e-05
pca_56,4.060872650982614e-05
pca_57,-7.101469126731926e-06
pca_58,7.065679312222029e-05
pca_59,-0.0001244185428488101
pca_60,0.00022818815197684413
pca_61,-3.92018116732477e-06
pca_62,3.1021334454534366e-06
pca_63,0.00010899916176779811
pca_64,9.782789779519725e-05
pca_65,-5.232811327755106e-05
pca_66,0.00010326851505653226
pca_67,2.3184058986840627e-06
pca_68,2.0385992841332845e-05
pca_69,-0.00034199339376938333
pca_70,-2.5514465819588116e-05
pca_71,-4.014733700046606e-05
pca_72,-8.550083743385988e-05
pca_73,7.977099449328261e-05
pca_74,-3.0904251765709884e-05
pca_75,0.00014466315012497203
pca_76,4.03944795994466e-05
pca_77,-0.0002480024942048385
pca_78,0.00029498645732181313
pca_79,-0.000284089209091897
pca_80,0.0003538413483413792
pca_81,-6.316916563660994e-05
pca_82,-0.00021097032943554495
pca_83,5.5849338663401535e-05
pca_84,7.378207458455378e-05
pca_85,0.00021825220383580064
pca_86,-2.5260446732408402e-05
pca_87,6.811908835389246e-05
pca_88,8.987514310319423e-05
pca_89,-0.00014809183448835997
pca_90,7.575444342078382e-05
pca_91,-0.00012434836424120497
pca_92,8.795675588505595e-05
pca_93,-0.00014154343673472247
pca_94,1.9923635318380077e-05
pca_95,5.670819149469341e-05
pca_96,7.37755126966441e-05
pca_97,-4.651203777601245e-05
pca_98,-5.656147538460646e-05
pca_99,0.00016275705938681494
pca_100,0.00012055028378470765
pca_101,0.00013138402539591705
pca_102,9.172267375701776e-05
