"","x"
"Intercept",0.00317503303825325
"pca_0",-0.00171392124690102
"pca_1",-0.000491963236004948
"pca_2",0.000531091299773733
"pca_3",0.000993855527045884
"pca_4",-1.89371755768053e-05
"pca_5",-0.000549529293479414
"pca_6",0.000259758009304076
"pca_7",0.000328181914566637
"pca_8",-0.000301509300867052
"pca_9",-3.48228280953005e-05
"pca_10",-5.96353088068457e-05
"pca_11",-0.000255133860719775
"pca_12",-0.00040626266909209
"pca_13",-0.000441984397876078
"pca_14",0.000306711734136261
"pca_15",-0.000180498655524497
"pca_16",0.000279964707187295
"pca_17",-1.82562302410478e-07
"pca_18",-0.000418293500738355
"pca_19",0.000354555246746263
"pca_20",-0.000255076198796243
"pca_21",2.16391789446438e-05
"pca_22",-4.80753349280706e-05
"pca_23",-0.000128716816582511
"pca_24",5.19169789478241e-05
"pca_25",0.000346875154353143
"pca_26",2.80556403912127e-05
"pca_27",-1.26662891348668e-05
"pca_28",-0.000190116287311834
"pca_29",-0.000182644810822914
"pca_30",0.000227792041421902
"pca_31",1.90571170553241e-05
"pca_32",0.000186959823343193
"pca_33",-0.000111900630516094
"pca_34",-0.000108250343439959
"pca_35",6.71608857585195e-05
"pca_36",7.14856874509204e-05
"pca_37",-2.75170477991242e-05
"pca_38",0.000155889411088245
"pca_39",-6.33548464118392e-05
"pca_40",-0.00027080215452722
"pca_41",0.000114482691775301
"pca_42",-0.00012372375728766
"pca_43",4.62053984433692e-05
"pca_44",0.000133322750809551
"pca_45",5.18142985316578e-05
"pca_46",3.25115009391293e-05
"pca_47",0.000163731644971968
"pca_48",-0.00010352484188781
"pca_49",-0.000153678735091722
"pca_50",-8.99010865264288e-05
